Recipe Name,Portions,Cooking Time (min),Calories (Kcal)
Salmone croccante con insalata di noodles,2,60,635.0
Poke temaki wrap,2,22,468.0
"Piadina con cotto, pecorino e pomodori",2,15,580.0
Insalata di riso con erbe aromatiche e uovo morbido,2,50,
"Insalata di riso con pesche, piselli e stracchino",2,30,
Sandwich tricolore senza glutine,2,60,384.0
Polpette di riso e insalata,3,80,406.0
Sandwich senza glutine al tonno e formaggio,1,30,783.0
Piadina culatello e carciofi,2,15,428.0
Piadina con pollo al curry e pesto di zucchine,1,30,
Tempura di verdure autunnali e carne,2,45,922.0
"Piadina con 'nduja, salsiccia e pomodorini",1,20,947.0
Piadina stracciatella e cime di rapa,2,20,1034.0
"Torta di riso con piselli, asparagi e zucchine",2,60,
"Piadina melanzane, scamorza e pico de gallo",2,25,975.0
McChicken® Mediterraneo,2,35,
Burger di polpo,2,80,755.0
Piadina con sarde fritte e burrata,2,35,1024.0
Timballo di riso con melanzane e pomodori,3,60,
Burrata con verdura e frutta grigliate,1,30,
Piadina con fiori di zucca ripieni e fritti,2,60,757.0
Panini alla birra con insalata russa di primavera,3,90,364.0
Fish pie,3,85,576.0
Risotto ai peperoni con arachidi e formaggio,2,45,
Insalata di riso tiepida con funghi,2,30,
Il Ricercato,2,45,
Crudo di verdure gamberi e Taleggio,1,27,
Gunkanmaki,2,20,483.0
Panino con salame e bietole,2,70,
Grilled beef speziato con riso pilaf e verdure primaverili,2,100,705.0
"Uovo pochè fritto con verdure, pancetta e salsa bernese",3,30,831.0
Insalata di riso con salmone tataki e rucola,2,50,774.0
Piadina con erbette patate e lardo di Colonnata,2,55,988.0
L'Affumicato,2,40,
Aragosta allo Champagne con riso pilaf,3,70,669.0
Focaccia senza glutine con caponata,2,50,
"Piadina con gamberi, fiori di zucca e insalata",2,25,522.0
Burger di riso e barbabietola con salsa di Grana Padano,1,120,330.0
Pasticcio di Noto,3,105,
Torta di panettone gastronomico,2,35,562.0
"Insalata di riso con agrumi, spinacino e gamberi",2,40,
Sandwich di polenta con verdure e taleggio,3,90,
"Piadina con crudo, pesto di fave e indivia",2,40,681.0
Sandwich di panettone,4,130,
Fagottini di crespelle con uovo poché,4,50,403.0
Riso patate e cozze,2,90,353.0
Cotechino su crema di patate,2,140,705.0
Hosomaki vegetariano,4,50,274.0
Cornbread burger con porcino,3,100,322.0
Maki di kiwi e salmone,3,42,306.0
Demi baguette al salmone,2,35,728.0
Gateau di patate con zucca e taleggio,3,110,
