Date;Price;;;;;;;;
09/15/21;4.481,;;;;;;;;
09/14/21;4.443,;;;;;;;;
09/13/21;4.469,;;;;;;;;
09/10/21;4.459,;;;;;;;;
09/09/21;4.493,;;;;;;;;
09/08/21;4.514,;;;;;;;;
09/07/21;4.520,;;;;;;;;
09/03/21;4.535,;;;;;;;;
09/02/21;4.537,;;;;;;;;
09/01/21;4.524,;;;;;;;;
08/31/21;4.523,;;;;;;;;
08/30/21;4.529,;;;;;;;;
08/27/21;4.509,;;;;;;;;
08/26/21;4.470,;;;;;;;;
08/25/21;4.496,;;;;;;;;
08/24/21;4.486,;;;;;;;;
08/23/21;4.480,;;;;;;;;
08/20/21;4.442,;;;;;;;;
08/19/21;4.406,;;;;;;;;
08/18/21;4.400,;;;;;;;;
08/17/21;4.448,;;;;;;;;
08/16/21;4.480,;;;;;;;;
08/13/21;4.468,;;;;;;;;
08/12/21;4.461,;;;;;;;;
08/11/21;4.448,;;;;;;;;
08/10/21;4.437,;;;;;;;;
08/09/21;4.432,;;;;;;;;
08/06/21;4.437,;;;;;;;;
08/05/21;4.429,;;;;;;;;
08/04/21;4.403,;;;;;;;;
08/03/21;4.423,;;;;;;;;
08/02/21;4.387,;;;;;;;;
07/30/21;4.395,;;;;;;;;
07/29/21;4.419,;;;;;;;;
07/28/21;4.401,;;;;;;;;
07/27/21;4.401,;;;;;;;;
07/26/21;4.422,;;;;;;;;
07/23/21;4.412,;;;;;;;;
